skill,variant,condition,n,successes,rate,ci_lo,ci_hi
git-workflow,a,c1,18,15,0.8333333333333334,0.6077796189608428,0.9416342319413856
git-workflow,a,c2,18,10,0.5555555555555556,0.33716415642042774,0.7544048187299437
git-workflow,a,c3,18,7,0.3888888888888889,0.20305246572163624,0.6138095839776211
git-workflow,a,c4,18,18,1.0,0.8241207763533424,1.0
git-workflow,b,c1,18,11,0.6111111111111112,0.386190416022379,0.7969475342783638
git-workflow,b,c2,18,12,0.6666666666666666,0.4374946729594511,0.8372122524916632
git-workflow,b,c3,18,18,1.0,0.8241207763533424,1.0
git-workflow,b,c4,18,18,1.0,0.8241207763533424,1.0
git-workflow,c,c1,18,18,1.0,0.8241207763533424,1.0
git-workflow,c,c2,18,17,0.9444444444444444,0.7424269921812741,0.990124809021697
git-workflow,c,c3,18,18,1.0,0.8241207763533424,1.0
git-workflow,c,c4,18,18,1.0,0.8241207763533424,1.0
svelte5-runes,a,c1,19,16,0.8421052631578947,0.6243452472967091,0.9447952836146586
svelte5-runes,a,c2,18,16,0.8888888888888888,0.672002348698212,0.9689804773543876
svelte5-runes,a,c3,18,5,0.2777777777777778,0.12499753379553993,0.5087265656029747
svelte5-runes,a,c4,18,18,1.0,0.8241207763533424,1.0
svelte5-runes,b,c1,18,17,0.9444444444444444,0.7424269921812741,0.990124809021697
svelte5-runes,b,c2,18,14,0.7777777777777778,0.5478541568378739,0.9099907189139833
svelte5-runes,b,c3,18,18,1.0,0.8241207763533424,1.0
svelte5-runes,b,c4,18,18,1.0,0.8241207763533424,1.0
svelte5-runes,c,c1,18,18,1.0,0.8241207763533424,1.0
svelte5-runes,c,c2,18,16,0.8888888888888888,0.672002348698212,0.9689804773543876
svelte5-runes,c,c3,18,18,1.0,0.8241207763533424,1.0
svelte5-runes,c,c4,18,18,1.0,0.8241207763533424,1.0
dockerfile-generator,a,c1,19,18,0.9473684210526315,0.7536126883310121,0.9906480059376996
dockerfile-generator,a,c2,18,18,1.0,0.8241207763533424,1.0
dockerfile-generator,a,c3,18,8,0.4444444444444444,0.2455951812700563,0.6628358435795723
dockerfile-generator,a,c4,18,18,1.0,0.8241207763533424,1.0
dockerfile-generator,b,c1,18,18,1.0,0.8241207763533424,1.0
dockerfile-generator,b,c2,18,18,1.0,0.8241207763533424,1.0
dockerfile-generator,b,c3,18,18,1.0,0.8241207763533424,1.0
dockerfile-generator,b,c4,18,18,1.0,0.8241207763533424,1.0
dockerfile-generator,c,c1,18,18,1.0,0.8241207763533424,1.0
dockerfile-generator,c,c2,18,18,1.0,0.8241207763533424,1.0
dockerfile-generator,c,c3,18,18,1.0,0.8241207763533424,1.0
dockerfile-generator,c,c4,18,18,1.0,0.8241207763533424,1.0
